song,scene,duration,confidence,loudness,tempo,tempo_confidence,key,key_confidence,mode,mode_confidence,time_signature,time_signature_confidence,name,type,active_lights,colors,avg_brightness,avg_strobe,uses_mfft,uses_time,uses_bool,active_light_types,dominant_color
TAKA - Taiki Nulight Remix,red_bass_pulse,31.69151,0.286,-7.939,140.188,0.627,1,0.426,1,0.125,4,1.0,red_bass_pulse,unknown,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'orb', 'rgb1', 'rgb6', 'lasers', 'discoball', 'ropes']",{'red': 8},85.0,255.0,True,False,True,"{'rgb': 8, 'strobe': 1, 'dimmer': 4}",red
TAKA - Taiki Nulight Remix,vintage,12.87592,0.452,-4.9,139.915,0.704,11,0.0,0,0.0,4,1.0,vintage,effect,"['orb', 'ropes']",{},141.25,,True,False,False,{'dimmer': 2},
TAKA - Taiki Nulight Remix,vintage,15.20168,0.963,-10.18,141.189,0.657,0,0.018,1,0.19,4,0.971,vintage,effect,"['orb', 'ropes']",{},141.25,,True,False,False,{'dimmer': 2},
TAKA - Taiki Nulight Remix,red_bass_pulse,23.59228,1.0,-8.322,140.052,0.747,1,0.0,0,0.0,4,1.0,red_bass_pulse,unknown,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'orb', 'rgb1', 'rgb6', 'lasers', 'discoball', 'ropes']",{'red': 8},85.0,255.0,True,False,True,"{'rgb': 8, 'strobe': 1, 'dimmer': 4}",red
TAKA - Taiki Nulight Remix,red_bass_pulse,54.40198,0.652,-3.907,140.15,0.661,6,0.674,0,0.61,4,1.0,red_bass_pulse,unknown,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'orb', 'rgb1', 'rgb6', 'lasers', 'discoball', 'ropes']",{'red': 8},85.0,255.0,True,False,True,"{'rgb': 8, 'strobe': 1, 'dimmer': 4}",red
TAKA - Taiki Nulight Remix,ambient3,5.20808,0.396,-10.687,139.377,0.746,1,0.241,1,0.326,4,1.0,ambient3,ambient,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'orb', 'rgb1', 'rgb6', 'ropes']","{'green': 4, 'orange': 4}",,0.0,False,True,True,"{'rgb': 8, 'dimmer': 2}",green
Saving Up,disco,4.21213,1.0,-15.974,130.225,0.879,6,0.088,1,0.489,4,1.0,discovibe,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'rgb1', 'rgb6', 'discoball', 'ropes']","{'blue': 4, 'pink': 4}",70.0,0.1111111111111111,True,True,True,"{'dimmer': 2, 'rgb': 8, 'strobe': 1}",blue
Saving Up,discovibe,11.55175,0.813,-6.222,129.994,0.663,6,0.635,1,0.621,4,1.0,discovibe,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'rgb1', 'rgb6', 'discoball', 'ropes']","{'blue': 4, 'pink': 4}",70.0,0.1111111111111111,True,True,True,"{'dimmer': 2, 'rgb': 8, 'strobe': 1}",blue
Saving Up,build1,11.52955,0.742,-6.17,130.042,0.73,8,0.191,1,0.556,4,1.0,build1,build,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'orb', 'rgb1', 'rgb6', 'ropes']","{'blue': 4, 'purple': 4}",127.5,0.0,True,True,False,"{'rgb': 8, 'dimmer': 2}",blue
Saving Up,build1,14.76974,0.648,-5.587,130.087,0.648,3,0.128,0,0.379,4,1.0,build1,build,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'orb', 'rgb1', 'rgb6', 'ropes']","{'blue': 4, 'purple': 4}",127.5,0.0,True,True,False,"{'rgb': 8, 'dimmer': 2}",blue
